Sample	Replicate	Genotype	Treatment	Section of Root	D_M_WW	S_n	rep_n	combined	Groups	treatment_section	Color_grp	genotype_color	section_color
ABD1	1	B73	Dry	1	D	S1	rep1	B73_D_S1_rep1	B73_D_S1	D_S1	red	#7A6F9B	red
ABD2	1	B73	Dry	2	D	S2	rep1	B73_D_S2_rep1	B73_D_S2	D_S2	red	#8983BD	yellow
ABD3	1	B73	Dry	3	D	S3	rep1	B73_D_S3_rep1	B73_D_S3	D_S3	red	#B1ABD5	green
ABD4	1	B73	Dry	4	D	S4	rep1	B73_D_S4_rep1	B73_D_S4	D_S4	red	#BEBADC	blue
ABD5	1	B73	Dry	5	D	S5	rep1	B73_D_S5_rep1	B73_D_S5	D_S5	red	#CECBE5	violet
ABM1	1	B73	Moderate	1	M	S1	rep1	B73_M_S1_rep1	B73_M_S1	M_S1	red	#7A6F9B	red
ABM2	1	B73	Moderate	2	M	S2	rep1	B73_M_S2_rep1	B73_M_S2	M_S2	red	#8983BD	yellow
ABM3	1	B73	Moderate	3	M	S3	rep1	B73_M_S3_rep1	B73_M_S3	M_S3	red	#B1ABD5	green
ABM4	1	B73	Moderate	4	M	S4	rep1	B73_M_S4_rep1	B73_M_S4	M_S4	red	#BEBADC	blue
ABM5	1	B73	Moderate	5	M	S5	rep1	B73_M_S5_rep1	B73_M_S5	M_S5	red	#CECBE5	violet
ABW1	1	B73	Well-watered	1	WW	S1	rep1	B73_WW_S1_rep1	B73_WW_S1	WW_S1	red	#7A6F9B	red
ABW2	1	B73	Well-watered	2	WW	S2	rep1	B73_WW_S2_rep1	B73_WW_S2	WW_S2	red	#8983BD	yellow
ABW3	1	B73	Well-watered	3	WW	S3	rep1	B73_WW_S3_rep1	B73_WW_S3	WW_S3	red	#B1ABD5	green
ABW4	1	B73	Well-watered	4	WW	S4	rep1	B73_WW_S4_rep1	B73_WW_S4	WW_S4	red	#BEBADC	blue
ABW5	1	B73	Well-watered	5	WW	S5	rep1	B73_WW_S5_rep1	B73_WW_S5	WW_S5	red	#CECBE5	violet
AFD1	1	FR697	Dry	1	D	S1	rep1	FR697_D_S1_rep1	FR697_D_S1	D_S1	green	#D4E3C4	red
AFD2	1	FR697	Dry	2	D	S2	rep1	FR697_D_S2_rep1	FR697_D_S2	D_S2	green	#CCF5AC	yellow
AFD3	1	FR697	Dry	3	D	S3	rep1	FR697_D_S3_rep1	FR697_D_S3	D_S3	green	#99B981	green
AFD4	1	FR697	Dry	4	D	S4	rep1	FR697_D_S4_rep1	FR697_D_S4	D_S4	green	#7E996A	blue
AFD5	1	FR697	Dry	5	D	S5	rep1	FR697_D_S5_rep1	FR697_D_S5	D_S5	green	#697E57	violet
AFM1	1	FR697	Moderate	1	M	S1	rep1	FR697_M_S1_rep1	FR697_M_S1	M_S1	green	#D4E3C4	red
AFM2	1	FR697	Moderate	2	M	S2	rep1	FR697_M_S2_rep1	FR697_M_S2	M_S2	green	#CCF5AC	yellow
AFM3	1	FR697	Moderate	3	M	S3	rep1	FR697_M_S3_rep1	FR697_M_S3	M_S3	green	#99B981	green
AFM4	1	FR697	Moderate	4	M	S4	rep1	FR697_M_S4_rep1	FR697_M_S4	M_S4	green	#7E996A	blue
AFM5	1	FR697	Moderate	5	M	S5	rep1	FR697_M_S5_rep1	FR697_M_S5	M_S5	green	#697E57	violet
AFW1	1	FR697	Well-watered	1	WW	S1	rep1	FR697_WW_S1_rep1	FR697_WW_S1	WW_S1	green	#D4E3C4	red
